borough,n_test,model,WMAPE,RMSE,MAE
Barking and Dagenham,364,HistAvg,0.893,570.009,262.968
Barking and Dagenham,364,IDW,0.8035,593.422,236.631
Barking and Dagenham,364,MLR,0.7043,534.701,207.417
Barking and Dagenham,364,RF,0.6935,518.838,204.243
Barking and Dagenham,364,XGBoost,0.6706,504.096,197.476
Barking and Dagenham,364,MLP,0.6811,524.479,200.563
Barking and Dagenham,364,GATv2,0.7128,546.797,209.924
Barnet,993,HistAvg,1.2395,379.816,265.098
Barnet,993,IDW,0.8581,374.974,183.529
Barnet,993,MLR,0.6935,348.166,148.322
Barnet,993,RF,0.6598,309.932,141.12
Barnet,993,XGBoost,0.6577,301.16,140.667
Barnet,993,MLP,0.6731,305.969,143.963
Barnet,993,GATv2,0.7673,349.225,164.096
Bexley,672,HistAvg,1.6969,388.739,256.754
Bexley,672,IDW,0.8559,366.586,129.506
Bexley,672,MLR,0.6933,305.878,104.9
Bexley,672,RF,0.6847,324.38,103.606
Bexley,672,XGBoost,0.6921,301.404,104.715
Bexley,672,MLP,0.6826,303.661,103.289
Bexley,672,GATv2,0.7822,354.846,118.357
Brent,575,HistAvg,0.8181,541.496,311.062
Brent,575,IDW,0.8563,569.887,325.602
Brent,575,MLR,0.6306,475.734,239.761
Brent,575,RF,0.652,492.364,247.922
Brent,575,XGBoost,0.642,479.007,244.099
Brent,575,MLP,0.6215,466.326,236.318
Brent,575,GATv2,0.7705,571.321,292.975
Bromley,1179,HistAvg,2.6075,309.255,265.171
Bromley,1179,IDW,0.9483,231.824,96.441
Bromley,1179,MLR,0.6641,169.238,67.537
Bromley,1179,RF,0.6545,185.347,66.561
Bromley,1179,XGBoost,0.6504,173.117,66.142
Bromley,1179,MLP,0.6582,163.469,66.941
Bromley,1179,GATv2,0.7316,182.477,74.405
Camden,424,HistAvg,0.8666,609.429,349.975
Camden,424,IDW,0.8385,572.753,338.626
Camden,424,MLR,0.5214,446.19,210.558
Camden,424,RF,0.523,449.668,211.207
Camden,424,XGBoost,0.539,460.715,217.675
Camden,424,MLP,0.5019,412.17,202.679
Camden,424,GATv2,0.6677,516.588,269.628
City of London,101,HistAvg,0.798,914.764,520.033
City of London,101,IDW,0.8708,984.356,567.474
City of London,101,MLR,0.5655,708.56,368.551
City of London,101,RF,0.5729,731.442,373.354
City of London,101,XGBoost,0.5667,703.402,369.289
City of London,101,MLP,0.565,653.743,368.192
City of London,101,GATv2,0.799,925.161,520.715
